Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Joaquim Rodríguez,7506,1262,1473,9165,36,58,169,Spain
Joël Pelier,569,1034,624,100,27,,,France
Johan Bruyneel,2238,2623,1476,854,31,71,182,Belgium
Johan Lammerts,772,148,1238,292,25,,,Netherlands
Johan Museeuw,1721,1817,9359,586,25,71,184,Belgium
Johan Van Der Velde,3634,1150,6440,1494,30,,,Netherlands
John Degenkolb,1201,292,6422,315,29,82,180,Germany
Johnny Weltz,536,5,954,300,26,65,178,Denmark
Jonas Vingegaard,4056,1464,129,3582,26,58,175,Denmark
Joop Zoetemelk,13884,11438,6284,5999,34,68,173,Netherlands
Jørgen V. Pedersen,398,420,234,280,26,,,Denmark
Jos De Schoenmaecker,1220,137,765,540,33,,,Belgium
Jos Hinsen,52,1,219,21,24,,,Netherlands
Jos Huysmans,2051,345,3803,1313,31,,,Belgium
Jos Jacobs,655,489,4156,316,26,,,Belgium
Jos Spruyt,789,26,1706,324,31,,,Belgium
José Ángel Sarrapio,210,52,209,80,27,,,Spain
José Antonio González,3642,4315,2021,100,24,,,Spain
José Catieau,1322,134,1720,230,27,,,France
José Jaime Gonzalez,588,78,585,294,28,,,Colombia
José Manuel Fuente,2593,1262,1937,622,28,,,Spain
José Nazabal,1617,497,1038,137,26,,,Spain
José Pérez Francés,4143,1562,5180,934,24,,,Spain
José Samyn,487,72,874,259,32,,,France
José Vicente Garcia,749,564,457,526,28,76,186,Spain
José Viejo,1614,1811,2801,290,27,,,Spain
José-Maria Errandonea,1253,1316,1228,105,27,,,Spain
Joseph Bruyère,1864,3379,1735,688,26,,,Belgium
Joseph Groussard,1557,194,3832,114,25,,,France
Joseph Mauclair,697,195,1091,162,22,,,France
Joseph Morvan,729,537,978,176,32,,,France
Joseph Muller,895,0,572,542,28,,,France
Joseph Thomin,858,38,1578,270,25,,,France
Joseph Van Dam,225,0,710,85,25,,,Belgium
Jozef Huysmans,91,0,368,125,22,,,Belgium
Juan Antonio Flecha,1781,656,2598,665,26,72,181,Spain
Juan José Cobo,1153,533,362,1330,27,62,175,Spain
Juan Manuel Gárate,2085,605,477,1565,33,62,174,Spain
Juan Martinéz,269,777,200,157,24,,,Spain
Juan Miguel Mercado,1636,387,652,993,26,56,173,Spain
Jules Buysse,515,0,502,226,25,,,Belgium
Jules Masselis,100,0,1435,272,25,,,Belgium
Jules Merviel,467,16,1139,12,24,,,France
Julian Alaphilippe,2606,1331,775,4917,27,62,173,France
Julián Berrendero,4408,1894,6607,116,25,63,162,Spain
Julián Gorospe,4855,5891,1252,770,26,,,Spain
Julien Maitron,1105,0,186,980,29,59,159,France
Julien Moineau,682,238,1327,430,32,,,France
Julien Schepens,320,84,1098,38,25,,,Belgium
Julien Stevens,309,388,2284,15,26,,,Belgium
Julien Vervaecke,1550,2114,2940,255,31,68,170,Belgium
Julio Jiménez,2186,700,2268,1223,31,,,Spain
Karel Rottiers,138,63,410,22,22,,,Belgium
Karl Litschi,710,522,1018,6,27,,,Switzerland
Karsten Kroon,651,160,1520,242,26,67,180,Netherlands
Kim Andersen,1937,1208,3320,496,25,,,Denmark
Kim Kirchen,2538,1426,1824,1164,30,68,178,Luxembourg
Klaus-Peter Thaler,871,802,3315,574,29,60,171,Germany
Kurt Asle Arvesen,1570,1047,2160,318,33,74,183,Norway
Kurt Gimmi,1212,70,996,298,24,,,Switzerland
Kurt Stöpel,1275,40,2755,126,24,,,Germany
Lance Armstrong,4070,7943,1547,4378,33,72,178,US
Lars Boom,2101,2939,1758,145,29,75,191,Netherlands
Laudelino Cubino,3131,836,1641,1780,25,,,Spain
Laurent Brochard,4646,3789,5046,1372,29,68,180,France
Laurent Desbiens,844,404,1244,256,28,,,France
Laurent Dufaux,5561,2589,3278,2524,27,60,169,Switzerland
Laurent Fignon,6297,5423,4288,2800,29,67,174,France
Laurent Jalabert,8373,7155,11053,3861,33,66,176,France
Learco Guerra,1810,602,7198,342,31,,,Italy
Lennard Kämna,1028,778,80,1750,24,65,181,Germany
Leo Amberg,1697,500,2337,82,25,72,172,Switzerland
Leo Duyndam,70,176,895,8,24,,,Netherlands
Leo Van Vliet,1214,237,3580,431,25,65,181,Netherlands
Léon Level,1282,51,1331,94,26,64,164,France
Léon Louyet,353,0,1324,1,27,64,160,Belgium
Léon Scieur,1360,0,1164,1246,33,,,Belgium
Léon Van Bon,621,854,3654,258,26,72,176,Netherlands
Levi Leipheimer,5959,6629,1056,3050,34,62,170,US
Lilian Calmejane,1292,182,362,1040,25,70,185,France
Linus Gerdemann,2277,1219,1099,506,26,71,183,Germany
Livio Isotti,106,16,488,57,26,,,Italy
Lorenzo Bernucci,583,99,844,204,26,72,183,Italy
Louis Bergaud,1092,154,1209,412,30,,,France
Louis Caput,444,4,2384,190,34,,,France
Louis Delannoy,838,0,1543,344,27,,,Belgium
Louis Heusghem,1095,0,906,1011,38,,,Belgium
Louis Mottiat,853,0,2860,893,32,,,Belgium
Louis Peglion,425,0,319,41,24,78,174,France
Louis Proost,184,298,1404,188,25,,,Belgium
Louis Trousselier,1275,0,1762,2142,24,68,161,France
Louison Bobet,5074,2719,6922,2334,29,74,179,France
Luc Leblanc,4084,1513,2646,1822,30,,,France
Luciano Armani,458,25,1565,124,31,,,Italy
Luciano Pezzi,560,97,954,98,34,,,Italy
Lucien Aimar,4012,930,2146,1860,26,,170,France
Lucien Buysse,1864,0,1816,950,34,,,Belgium
Lucien Lazaridès,1333,130,741,642,32,,,France
Lucien Pothier,889,22,173,310,28,67,178,Luxembourg
